original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_000;19.256;(0.6, 0.7);0.7;0;60785;34925;11;[1, 4, 6, 0, 2, 10, 5, 3, 7, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_001;21.137;(0.6, 0.7);0.7;1;60786;34837;11;[1, 4, 6, 10, 3, 7, 8, 2, 5, 0, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_002;20.293;(0.6, 0.7);0.7;2;60787;35092;11;[4, 1, 0, 6, 7, 5, 10, 3, 8, 9, 2]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_003;20.89;(0.6, 0.7);0.7;3;60785;34940;11;[1, 4, 7, 5, 6, 3, 8, 10, 0, 9, 2]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_004;22.413;(0.6, 0.7);0.7;4;60794;35003;11;[4, 3, 6, 1, 10, 5, 0, 2, 7, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_005;23.984;(0.6, 0.7);0.7;5;60789;35076;11;[4, 1, 3, 10, 5, 6, 0, 7, 2, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_006;26.136;(0.6, 0.7);0.7;6;60786;35030;11;[6, 4, 1, 3, 5, 8, 10, 2, 0, 7, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_007;23.046;(0.6, 0.7);0.7;7;60785;35045;11;[4, 6, 2, 1, 5, 10, 3, 8, 7, 9, 0]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_008;23.845;(0.6, 0.7);0.7;8;60785;34895;11;[4, 1, 3, 6, 2, 0, 10, 7, 5, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_009;22.599;(0.6, 0.7);0.7;9;60785;34941;11;[1, 4, 6, 3, 5, 10, 7, 8, 2, 9, 0]